platform,brand_name,tier,title,price,currency,condition,listing_id,url,original_price
ebay,Bally,niche,Bally Gray-Green Quilted Soft Leather Satchel Ornate Bally Bag Charm Nr MINT!,169.95,USD,Pre-owned - Excellent,v1|278256352223|0,https://www.ebay.com/itm/278256352223?_skw=Bally+handbag&hash=item40c95efbdf:g:O1UAAeSwOwdqdgOM&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZUtIYMkTIX4mgdC%2FzHjAkk6hUOMjbhqdCktHkGV9vFjSalVZv2efxAVPMDFqFrgJ37fRvo9UUiRYgh%2BpaL8v7VSdLQucML7Lv7GvdJbRK2BX0TIlDiWKv%2FQeY27FMB9dTn2ugeAd%2Bb%2BmBchGEI3A%2F2g2BKXz%2Fue12p%2BRMpfNL74aw3Z2Vxqt%2BKxx02vCKuZosR0Aa8EcwAFDwF%2BEc2q1vzageAMAZVY1lquftZvkPW%2FgeF9miu9ryTz5cSYhDU%2FPqN1ZHcNanMMrkhaVDf9Ebq8yrJQ5I76oSFmi5Dkp6k%2Bw%3D%3D,
ebay,Bally,niche,Vintage 80s-90s Bally Quilted Lambskin Leather Chain Shoulder Bag Ivory Cream,103.99,USD,Pre-owned - Good,v1|147445524352|0,https://www.ebay.com/itm/147445524352?_skw=Bally+handbag&hash=item2254702780:g:-7YAAeSwmqxqQAn3&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGYkED3tVR4jCd7ef8XMzQO8BMpeYQJwPqzE3kaVc2u4gML7TkgKkGDmx66Zfg7aXl8SXaW3J7jn4NXFtFa9NIEcbpzxNshZaGLa0q4D4m2LZllJxT2bZkW1J4gZ8t2zmKlF0U9BpHk951Er1jd1vcK4jyB0LBs53MyZc8PkJBsPuNphEYNADLf6V%2Bo5pLtLJLN4a%2FnTig22YG1ILG%2FwDWDnRYgkoowcU7xMN02Vebdpd7NVi0SujdDqu7vI6eQPg0wjsZYvRcqBQRG8H6BKzTOwJGqCeeyGCgE3XXvLdCdSUQ%3D%3D,
ebay,Bally,niche,Bally Stunning Navy Blue Silky Soft Leather Tote Shoulder Bag Near MINT!,149.95,USD,Pre-owned - Excellent,v1|407132077391|0,https://www.ebay.com/itm/407132077391?_skw=Bally+handbag&hash=item5ecaf67d4f:g:mLAAAeSwhyNqeOFK&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaGhm2pqiTS67eVNo19Ffs9acsu82%2F64r3I6YfHFsxMNgKQi15K%2BYgXy%2BBz2aScIUAt4dLDc1h8pnLaSGmbMMnZG6AT4yxkKozlFOEsk1rYuxCmC0kk6DVI5OQ81XGnmGTr8XSo9FPnSW%2Fo5IKSLbTppLG857ANxXwob%2BmF7LOg7%2BOR%2FYX1PMrUNpjMgxT9Jmp%2BVLg21u20pWsGHVvCVingdUIg4OAxVsTHqd%2FynhHxWjZwSlzUmNH97087%2BiTBRnaJ55ifFErlUD7GmycfIYZ7hdMa6fZVM%2FcMEZ4cqBSmTw%3D%3D,
ebay,Bally,niche,Authentic BALLY Hand bag Brown Leather From Japan 01279,99.99,USD,Pre-owned - Good,v1|407159934033|0,https://www.ebay.com/itm/407159934033?_skw=Bally+handbag&hash=item5ecc9f8c51:g:V6IAAeSwj6BqhvOA,
ebay,Bally,niche,Bally Women’s Handbag,25.0,USD,Pre-owned - Good,v1|318765308281|0,https://www.ebay.com/itm/318765308281?_skw=Bally+handbag&hash=item4a37e49979:g:vLgAAeSwrWpqiNZV,
ebay,Bally,niche,Bally Leather Purse Brown Shoulder Bag,24.0,USD,Pre-owned - Good,v1|298458306694|0,https://www.ebay.com/itm/298458306694?_skw=Bally+handbag&hash=item457d805886:g:XCUAAeSwt~5qNq5t,
ebay,Bally,niche,BALLY Brown Crossgrain Leather Shoulder Bag Gold Hardware Logo Purse (org $650),145.0,USD,Pre-owned - Excellent,v1|227429923598|0,https://www.ebay.com/itm/227429923598?_skw=Bally+handbag&hash=item34f3e13b0e:g:vckAAeSwrsFqVU-c,
ebay,Bally,niche,BALLY Classic Black Leather Top Handle Bag Vintage Turn Lock From Italy Women,280.0,USD,Pre-owned - Good,v1|318713287747|0,https://www.ebay.com/itm/318713287747?_skw=Bally+handbag&hash=item4a34cad443:g:bN8AAeSweBdqFHC-,
ebay,Bally,niche,BALLY Vintage Bicolor Leather Top Handle Bag Turn Lock - Extra Large 40cm,399.0,USD,Pre-owned - Good,v1|137238194088|0,https://www.ebay.com/itm/137238194088?_skw=Bally+handbag&hash=item1ff408a7a8:g:tuwAAeSwkUFqSNAd,
ebay,Bally,niche,"Bally Phyton Leather Adjustable Xbody Bag Used L 10.5""H6.7""W-1""",290.0,USD,Pre-owned - Good,v1|376994717593|0,https://www.ebay.com/itm/376994717593?_skw=Bally+handbag&hash=item57c6a2df99:g:aX4AAeSwlGBpoNnN&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbQXaj%2Fxoe6nqo0Erxo7vB36UAiKqAwS8rkuUvKrs6kG0v7SaFJz54SzeniC56LvT0n81f8PEz%2Fj9mJvL7vZpbm65JJj7BfUahnCA6Li%2BTUCPkh%2B5S8J2ZOew%2BT8x0GTvtGna2nFVwvQ1QDzl74ovvovNEXoJhOKHUv61zFks6XFfKx49CwJEx5K8nlliHmITEyDi4eTQbpIVdkHdkUuExZN6WAg1bCVwkujyVoNyYfonofWU8oEnxNqdoSHlnb7sWl5dJTnUKLdLp%2Bt5TVni6JqHHMgb2l%2BM%2Fav3%2BwG49BZQ%3D%3D,
ebay,Bally,niche,Bally Trensa Foldover Suede Shoulder Bag Womens OS Brown Italy Vintage Leather,71.99,USD,Pre-owned - Good,v1|358839833539|0,https://www.ebay.com/itm/358839833539?_skw=Bally+handbag&hash=item538c8553c3:g:n-wAAeSwo9lqY9bC&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaIsgocX3vsWVqnP4VRiIGFZcL0F44dAtfz3jL1ikTmn87vD1Tn9Lbz3XN5E08fMTe2w%2FgSF7CpZoqix%2B%2BBUw%2B4J9KbAmOcKYLs0q6feQXzO8GIUAJty5jiguLCOrvI5lJP7HVnHhb8hNMyDSdTD3kv7071lt0jAyikjW5uq7q8fLnMOu0wepjimEuA2xAfMYJrxBu6nupButc5ZvUXwDTUxg9oZOHdx4JMUcZhQxfO1UyMOIRsYxzE300I7f48fS7fMEpaoXDBefUxZRcyjEfmQuLyH0oxU1cfZalMewEJsw%3D%3D,
ebay,Bally,niche,"Bally Black Women's Tote Handbag 14""x11""x5"" with internal zipped compartment",115.0,USD,Pre-owned - Good,v1|800537744212|0,https://www.ebay.com/itm/800537744212?_skw=Bally+handbag&hash=itemba63c49354:g:L1wAAeSw2npqhnhB,
ebay,Bally,niche,Auth BALLY Handbag Shoulder Bag Black Leather/Silvertone - e62161a,122.0,USD,Pre-owned - Good,v1|117363908193|0,https://www.ebay.com/itm/117363908193?_skw=Bally+handbag&hash=item1b536f1e61:g:nlYAAeSwMF9qgsEb,
ebay,Bally,niche,Authentic Bally Handbag Brown Leather From Japan 0875,169.99,USD,Pre-owned - Good,v1|406994759772|0,https://www.ebay.com/itm/406994759772?_skw=Bally+handbag&hash=item5ec2c7305c:g:1HYAAeSwws5pj~UB,
ebay,Bally,niche,BALLY Shoulder Bag Leather 3 Set Bordeaux Black Auth BA4827,133.12,USD,Pre-owned - Good,v1|306466743015|0,https://www.ebay.com/itm/306466743015?_skw=Bally+handbag&hash=item475ad762e7:g:Z88AAeSwrdZpDg0u,
ebay,Bally,niche,Vintage Bally Black Leather Double Handled Satchel Orig Dust Bag~Distressed~READ,34.0,USD,Pre-owned - Good,v1|206443326257|0,https://www.ebay.com/itm/206443326257?_skw=Bally+handbag&hash=item3010fb2b31:g:r3MAAeSwS0BqZlvw,
ebay,Bally,niche,Authentic Bally top handle handbag,537.83,USD,Pre-owned - Good,v1|327245946397|0,https://www.ebay.com/itm/327245946397?_skw=Bally+handbag&hash=item4c3160de1d:g:aUsAAeSwk8FqSJBl,
ebay,Bally,niche,Bally Dark Brown Leather Top Handle Handbag Turn Lock Padlock Charm Formal,153.99,USD,Pre-owned - Good,v1|358862540413|0,https://www.ebay.com/itm/358862540413?_skw=Bally+handbag&hash=item538ddfce7d:g:tVgAAeSwimlqa3AE,
ebay,Bally,niche,BALLY Shoulder Bag Leather Navy Gold Auth bs20712,73.84,USD,Pre-owned - Good,v1|306829774439|0,https://www.ebay.com/itm/306829774439?_skw=Bally+handbag&hash=item47707ace67:g:YhUAAeSw27lpu6Lj,
ebay,Bally,niche,Bally Blue Quilted Crossbody with Gold Chain and Tassel,180.0,USD,Pre-owned - Good,v1|398274592831|0,https://www.ebay.com/itm/398274592831?_skw=Bally+handbag&hash=item5cbb04003f:g:ivwAAeSwt4FqYPM7&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa6UvRilW7yUYLtFdzpmRDDkf47nPZw43%2F2n92BGJdAatz5nypPIOGW%2FM5WKpPRYfdmSaep0g9d5JDhjH9k6%2FD7Kk2JkSjLna3FJhDJ6KuVe6gpX0JP1JM77wDVlUtf8zFDtRBP%2B0RIgBqP6zvbJQg2J%2F1A9c5yRL0MAuiqSAutE8WZTEVyGRGNFmfysDEQocJuighMr8%2F4ScqhdrzTc5eH7j9s7u8EJ1GIzQg0EqsyV%2FUl0GOjAHls4ZRbkbiDBFvRXq8RysCT2DqPgkX5y%2FxrEMAx3IkNZs8Dhpp0yQarEg%3D%3D,
ebay,Bally,niche,DEFECTIVE without tags Bally Messenger  bag G3D,209.7,USD,Pre-owned - Fair,v1|177599071415|0,https://www.ebay.com/itm/177599071415?_skw=Bally+handbag&hash=item2959bac4b7:g:nDcAAOSw5C5jTJNr&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZYYqn3Wc2J5FH0MUj8MfFBi0jGc4rgE%2FQgqNQ6cK3vTpQx12V6ADZcQMaIuf3wTyR4yUKcaIkRSdxslz4avb8Xn2kRaBuCDJwuFih10jsptYglPcIddxSBaQUTBdh0SiSC2oVY7X6DALbq8hH%2FcW83cwzbjUW1ASeHU37koFj4w5NVoKmGz%2BMeJCjwfaD%2BtCizXoOSrNeXwPPywrh3un6wRA9elELXg9716%2FT%2Bszp2QmIqu9wwdj9MvUrHQRR%2BxSjYSH9jsjwMR%2FWOZG%2B4CKj9k0XyZYL4F09XiSbl7Yg8hQ%3D%3D,
ebay,Bally,niche,Bally Blue Quilted Crossbody with Gold Chain and Tassel,180.0,USD,Pre-owned - Good,v1|398274592831|0,https://www.ebay.com/itm/398274592831?_skw=Bally+handbag&hash=item5cbb04003f:g:ivwAAeSwt4FqYPM7&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa6UvRilW7yUYLtFdzpmRDDkf47nPZw43%2F2n92BGJdAatz5nypPIOGW%2FM5WKpPRYfdmSaep0g9d5JDhjH9k6%2FD7Kk2JkSjLna3FJhDJ6KuVe6gpX0JP1JM77wDVlUtf8zHyvUo4cPjaUMrIz4NWVb%2F2h7zDnrHQKqGR6ahMb31OMgBE3QhCvZgpEOLM%2FA5nIqetWFNShEOn%2FcEdriR9fv98dLLFK3UlMcZBmV%2BWNGpQxcj3UX6hs%2FsKjebGoLhzWl%2BbQ4d1Ep5kXRhN4cY3p4OO0%2BAlZW5%2FPlkQmimyuuIj5w%3D%3D,
ebay,Bally,niche,DEFECTIVE without tags Bally Messenger  bag G3D,209.7,USD,Pre-owned - Fair,v1|177599071415|0,https://www.ebay.com/itm/177599071415?_skw=Bally+handbag&hash=item2959bac4b7:g:nDcAAOSw5C5jTJNr&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZYYqn3Wc2J5FH0MUj8MfFBi0jGc4rgE%2FQgqNQ6cK3vTpQx12V6ADZcQMaIuf3wTyR4yUKcaIkRSdxslz4avb8Xn2kRaBuCDJwuFih10jsptYglPcIddxSBaQUTBdh0SiRec%2BHcgUXqUK3QSY9e1Bm3L6BVWn376Jnig5VQ5364efl1qCs56qdU6cA5hiSEhW7egtNwYaViZHQALLSoOpVgSfnKaihln5zW4AwpzoLH0Z%2FrZnhISh16ZngdW4hwVN8DjDau61pJN1ZkFExWkU4u3p80NlT9l0ajMXqiZ5iPRQ%3D%3D,
ebay,Bally,niche,Authentic BALLY Hand bag Black Horsehair Leather From Japan 01276,299.99,USD,Pre-owned - Good,v1|407152420318|0,https://www.ebay.com/itm/407152420318?_skw=Bally+handbag&hash=item5ecc2ce5de:g:h7wAAeSwNRJqg75H&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZxjNn6vUy3LJpXdp8yJ4odTH1piE%2FgG13fY4BC1r121mTCY6L6g7JcbylsHAkBv2ybOb9vErsp%2Bl3kG4fzWE0NZk9xPxabKqN2NX39mCi%2Fgg6WUQoNzIBCvyIIdBqbtL3pikOOm%2BlvRbMQ3Uz26e0ibo%2BuVci%2FXwhjvNrDnhDfjiFhe6yN173OQ51wia7QwpY2xOoi5cThLQv5pKrmPJ%2B3sgtCTfsJpgj5LPtVrvqELj3cxEHHBRGu%2Bkr%2BMsRObGh1XSHpJF9ZP5mEpK8Lz5vCX4uXOXaEDjfwgppAeK1YcA%3D%3D,
ebay,Bally,niche,Authentic Bally Handbag Black Navy Leather canvas From Japan 01086,119.99,USD,Pre-owned - Good,v1|407032942503|0,https://www.ebay.com/itm/407032942503?_skw=Bally+handbag&hash=item5ec50dcfa7:g:HbAAAeSw65pqGOVP&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZMUXTty0VVpsHSsjwFohYCKvOBf%2FXQYqNIZUwAhSbfeRZm1ArPFCV0%2FZRA6Lw8nz3%2B0TsQ3F3dpTH6zbn%2FlTNFt8wrSHqOGEoYP2FmjThMXigRrVXtwbP6eWubIuXHn%2BJXAWRzUPF5v%2BpT3LYJ1YIpf2ij04YHcwfWtQtk0qT--C3eFdtERH60xcj1gBZUBI229QQtRzDEBTTNjXvkG4YiQapAWXCqkZRJUpWrajJdqoXnCHMhXN1WPHvBsI7wtmpt48w1cZVKMuqGOxkauKIhiMqlGpqnlH%2FodIaiznh3XQ%3D%3D,
